Time(h),1R1,2R1,3R1,4R1,CN1R1,CN2R1,W,1R2,2R2,3R2,4R2,CN1R2,CN2R2,W,1R3,2R3,3R3,4R3,CN1R3,CN2R3,W,1R4,2R4,3R4,4R4,CN1R4,CN2R4,W,W,W,W,W,W,W,W
0,0.351,0.404,0.409,0.403,0.435,0.403,0.122,0.339,0.36,0.39,0.441,0.433,0.407,0.133,0.37,0.407,0.416,0.433,0.45,0.456,0.142,0.344,0.271,0.415,0.378,0.546,0.427,0.154,0.155,0.17,0.167,0.174,0.165,0.163,0.152
0.083333333,0.348,0.407,0.436,0.42,0.444,0.43,0.154,0.345,0.385,0.398,0.455,0.468,0.427,0.163,0.405,0.391,0.459,0.47,0.497,0.495,0.169,0.367,0.307,0.481,0.399,0.55,0.448,0.181,0.175,0.191,0.188,0.199,0.185,0.189,0.182
0.166666667,0.342,0.403,0.418,0.424,0.454,0.432,0.175,0.343,0.395,0.387,0.465,0.485,0.43,0.183,0.392,0.383,0.452,0.473,0.523,0.504,0.19,0.368,0.317,0.509,0.418,0.553,0.448,0.203,0.186,0.205,0.206,0.218,0.203,0.207,0.202
0.25,0.336,0.401,0.409,0.423,0.448,0.42,0.185,0.332,0.393,0.387,0.462,0.499,0.413,0.195,0.374,0.38,0.445,0.473,0.536,0.501,0.201,0.389,0.337,0.505,0.42,0.559,0.434,0.215,0.192,0.212,0.216,0.228,0.212,0.219,0.213
0.333333333,0.327,0.402,0.409,0.414,0.436,0.425,0.189,0.335,0.407,0.383,0.47,0.51,0.414,0.198,0.352,0.378,0.413,0.45,0.522,0.498,0.207,0.357,0.315,0.488,0.403,0.549,0.423,0.22,0.196,0.218,0.226,0.239,0.222,0.228,0.221
0.416666667,0.315,0.397,0.38,0.396,0.435,0.426,0.198,0.323,0.391,0.37,0.418,0.471,0.417,0.202,0.355,0.382,0.417,0.435,0.502,0.511,0.211,0.372,0.302,0.475,0.368,0.519,0.418,0.22,0.193,0.216,0.228,0.24,0.225,0.23,0.225
0.5,0.315,0.386,0.368,0.382,0.42,0.432,0.189,0.321,0.396,0.383,0.41,0.451,0.415,0.198,0.345,0.36,0.396,0.4,0.459,0.506,0.208,0.358,0.307,0.432,0.35,0.499,0.409,0.217,0.187,0.214,0.223,0.236,0.221,0.225,0.217
0.583333333,0.325,0.373,0.372,0.378,0.415,0.419,0.183,0.321,0.392,0.375,0.418,0.448,0.423,0.195,0.347,0.373,0.402,0.408,0.438,0.512,0.2,0.349,0.31,0.405,0.344,0.487,0.421,0.213,0.181,0.205,0.213,0.227,0.216,0.218,0.209
0.666666667,0.314,0.359,0.354,0.365,0.397,0.425,0.164,0.31,0.38,0.365,0.407,0.446,0.416,0.184,0.327,0.348,0.391,0.397,0.433,0.501,0.191,0.339,0.298,0.403,0.341,0.492,0.417,0.201,0.173,0.195,0.206,0.22,0.209,0.209,0.199
0.75,0.327,0.37,0.36,0.371,0.408,0.423,0.151,0.306,0.376,0.354,0.389,0.44,0.427,0.171,0.328,0.361,0.402,0.406,0.445,0.51,0.174,0.334,0.31,0.395,0.351,0.477,0.416,0.19,0.159,0.182,0.189,0.207,0.196,0.196,0.187
0.833333333,0.324,0.372,0.362,0.359,0.408,0.428,0.133,0.308,0.378,0.363,0.4,0.436,0.416,0.142,0.331,0.352,0.389,0.402,0.446,0.525,0.152,0.334,0.308,0.392,0.352,0.473,0.397,0.17,0.138,0.164,0.172,0.192,0.181,0.178,0.17
0.916666667,0.308,0.344,0.343,0.347,0.409,0.415,0.12,0.311,0.383,0.363,0.389,0.452,0.427,0.117,0.322,0.341,0.377,0.388,0.426,0.491,0.121,0.333,0.29,0.387,0.343,0.471,0.417,0.138,0.114,0.138,0.142,0.167,0.157,0.153,0.143
1,0.312,0.346,0.342,0.339,0.398,0.407,0.108,0.308,0.386,0.355,0.399,0.444,0.438,0.099,0.319,0.348,0.367,0.384,0.423,0.505,0.098,0.319,0.315,0.374,0.35,0.456,0.408,0.108,0.093,0.108,0.112,0.132,0.124,0.118,0.11
1.083333333,0.3,0.331,0.323,0.337,0.391,0.425,0.094,0.298,0.374,0.349,0.393,0.442,0.428,0.088,0.308,0.331,0.364,0.377,0.418,0.494,0.088,0.326,0.281,0.365,0.341,0.464,0.41,0.091,0.09,0.093,0.091,0.102,0.1,0.093,0.091
1.166666667,0.303,0.336,0.328,0.336,0.396,0.411,0.092,0.293,0.36,0.343,0.378,0.425,0.421,0.086,0.307,0.331,0.36,0.371,0.406,0.503,0.088,0.316,0.288,0.362,0.346,0.463,0.41,0.089,0.088,0.09,0.086,0.091,0.087,0.084,0.086
1.25,0.294,0.34,0.321,0.33,0.405,0.41,0.09,0.29,0.362,0.341,0.376,0.42,0.411,0.085,0.317,0.331,0.361,0.369,0.408,0.492,0.086,0.316,0.273,0.363,0.343,0.445,0.398,0.086,0.088,0.09,0.087,0.091,0.086,0.084,0.088
1.333333333,0.311,0.326,0.306,0.336,0.389,0.403,0.088,0.302,0.373,0.356,0.406,0.453,0.439,0.084,0.322,0.338,0.352,0.381,0.408,0.498,0.084,0.313,0.302,0.359,0.341,0.459,0.39,0.088,0.085,0.088,0.083,0.087,0.084,0.081,0.086
1.416666667,0.308,0.319,0.305,0.317,0.372,0.38,0.093,0.292,0.358,0.345,0.384,0.434,0.43,0.086,0.303,0.329,0.347,0.371,0.409,0.485,0.085,0.311,0.295,0.354,0.342,0.46,0.408,0.087,0.086,0.089,0.084,0.088,0.083,0.08,0.085
1.5,0.326,0.339,0.317,0.332,0.394,0.401,0.093,0.292,0.362,0.341,0.379,0.426,0.426,0.084,0.311,0.354,0.35,0.389,0.43,0.491,0.086,0.313,0.298,0.359,0.35,0.447,0.405,0.089,0.087,0.09,0.085,0.088,0.084,0.081,0.087
1.583333333,0.312,0.33,0.321,0.324,0.4,0.412,0.089,0.291,0.353,0.35,0.385,0.436,0.42,0.083,0.31,0.342,0.352,0.378,0.406,0.475,0.085,0.321,0.28,0.359,0.349,0.441,0.419,0.086,0.086,0.088,0.083,0.087,0.083,0.08,0.085
1.666666667,0.323,0.346,0.337,0.342,0.403,0.403,0.092,0.291,0.36,0.343,0.378,0.424,0.405,0.085,0.315,0.337,0.355,0.372,0.418,0.497,0.085,0.323,0.321,0.37,0.353,0.483,0.417,0.092,0.087,0.088,0.083,0.087,0.083,0.081,0.087
1.75,0.318,0.333,0.317,0.331,0.386,0.378,0.094,0.298,0.368,0.346,0.386,0.426,0.414,0.084,0.313,0.34,0.357,0.373,0.412,0.483,0.085,0.329,0.288,0.378,0.348,0.446,0.413,0.088,0.086,0.088,0.084,0.087,0.083,0.08,0.086
1.833333333,0.338,0.347,0.324,0.354,0.411,0.405,0.092,0.309,0.383,0.366,0.407,0.445,0.416,0.083,0.334,0.362,0.365,0.413,0.45,0.548,0.086,0.331,0.313,0.378,0.358,0.46,0.398,0.087,0.085,0.087,0.081,0.085,0.082,0.08,0.085
1.916666667,0.344,0.34,0.323,0.353,0.42,0.42,0.091,0.304,0.365,0.349,0.39,0.437,0.418,0.084,0.318,0.358,0.351,0.393,0.424,0.491,0.085,0.323,0.305,0.36,0.358,0.459,0.411,0.087,0.087,0.087,0.083,0.087,0.083,0.08,0.087
2,0.344,0.329,0.317,0.34,0.418,0.442,0.089,0.295,0.361,0.347,0.4,0.456,0.456,0.086,0.321,0.348,0.357,0.389,0.416,0.478,0.085,0.331,0.283,0.359,0.35,0.467,0.411,0.085,0.086,0.087,0.083,0.086,0.083,0.08,0.086
2.083333333,0.343,0.355,0.33,0.35,0.418,0.428,0.089,0.296,0.363,0.35,0.387,0.439,0.433,0.083,0.332,0.351,0.366,0.381,0.427,0.493,0.085,0.342,0.301,0.367,0.354,0.454,0.404,0.084,0.086,0.088,0.084,0.086,0.084,0.081,0.087
2.166666667,0.349,0.336,0.324,0.343,0.418,0.427,0.088,0.352,0.383,0.375,0.427,0.459,0.447,0.087,0.333,0.359,0.356,0.389,0.415,0.474,0.085,0.346,0.298,0.364,0.355,0.445,0.421,0.086,0.087,0.089,0.084,0.086,0.083,0.082,0.087
2.25,0.364,0.341,0.333,0.353,0.417,0.428,0.088,0.334,0.38,0.361,0.421,0.455,0.437,0.093,0.339,0.368,0.364,0.404,0.43,0.483,0.084,0.35,0.306,0.369,0.359,0.451,0.407,0.086,0.084,0.087,0.083,0.086,0.082,0.08,0.086
2.333333333,0.362,0.343,0.327,0.349,0.426,0.435,0.089,0.316,0.345,0.347,0.386,0.441,0.413,0.086,0.341,0.359,0.368,0.39,0.42,0.487,0.085,0.358,0.301,0.377,0.351,0.457,0.413,0.086,0.085,0.087,0.084,0.087,0.083,0.082,0.087
2.416666667,0.388,0.341,0.323,0.353,0.42,0.431,0.091,0.336,0.385,0.381,0.423,0.466,0.449,0.083,0.349,0.359,0.366,0.399,0.432,0.495,0.082,0.377,0.333,0.387,0.357,0.475,0.397,0.085,0.084,0.085,0.081,0.084,0.082,0.078,0.085
2.5,0.387,0.323,0.317,0.34,0.416,0.426,0.093,0.324,0.358,0.362,0.398,0.455,0.444,0.086,0.35,0.362,0.37,0.397,0.425,0.49,0.085,0.371,0.314,0.375,0.353,0.466,0.405,0.086,0.085,0.086,0.083,0.085,0.082,0.081,0.087
2.583333333,0.383,0.339,0.321,0.347,0.413,0.389,0.096,0.334,0.376,0.366,0.4,0.439,0.443,0.084,0.36,0.368,0.373,0.397,0.425,0.483,0.084,0.39,0.325,0.386,0.357,0.476,0.438,0.085,0.084,0.085,0.081,0.085,0.081,0.08,0.086
2.666666667,0.409,0.354,0.337,0.356,0.407,0.427,0.09,0.336,0.383,0.36,0.398,0.432,0.424,0.083,0.376,0.391,0.387,0.414,0.435,0.495,0.085,0.396,0.309,0.374,0.362,0.456,0.424,0.087,0.086,0.086,0.082,0.085,0.082,0.079,0.086
2.75,0.418,0.335,0.326,0.344,0.41,0.422,0.095,0.344,0.368,0.361,0.395,0.441,0.429,0.084,0.368,0.365,0.368,0.392,0.425,0.486,0.085,0.413,0.316,0.377,0.352,0.448,0.401,0.084,0.084,0.085,0.082,0.085,0.081,0.08,0.087
2.833333333,0.44,0.354,0.346,0.365,0.422,0.457,0.091,0.354,0.379,0.355,0.396,0.437,0.422,0.083,0.393,0.389,0.4,0.439,0.479,0.564,0.087,0.426,0.326,0.39,0.362,0.452,0.416,0.089,0.086,0.086,0.082,0.085,0.082,0.08,0.085
2.916666667,0.454,0.351,0.332,0.37,0.423,0.436,0.09,0.375,0.398,0.387,0.426,0.458,0.434,0.083,0.411,0.405,0.395,0.443,0.442,0.511,0.084,0.446,0.329,0.403,0.352,0.456,0.409,0.087,0.083,0.084,0.082,0.084,0.081,0.08,0.084
3,0.474,0.36,0.342,0.371,0.425,0.441,0.089,0.389,0.398,0.387,0.42,0.445,0.437,0.083,0.407,0.397,0.397,0.428,0.43,0.509,0.084,0.468,0.35,0.399,0.368,0.457,0.407,0.089,0.084,0.086,0.081,0.086,0.083,0.08,0.086
3.083333333,0.481,0.367,0.342,0.36,0.392,0.397,0.094,0.383,0.387,0.37,0.403,0.431,0.436,0.085,0.4,0.377,0.375,0.396,0.42,0.486,0.084,0.484,0.321,0.397,0.359,0.465,0.452,0.087,0.085,0.086,0.082,0.085,0.082,0.08,0.086
3.166666667,0.512,0.37,0.344,0.374,0.419,0.436,0.093,0.402,0.392,0.381,0.417,0.453,0.443,0.085,0.417,0.384,0.389,0.403,0.429,0.485,0.085,0.491,0.326,0.403,0.366,0.488,0.446,0.086,0.085,0.087,0.082,0.086,0.083,0.08,0.087
3.25,0.534,0.372,0.355,0.377,0.413,0.416,0.095,0.433,0.391,0.405,0.424,0.481,0.482,0.086,0.426,0.376,0.381,0.4,0.428,0.492,0.083,0.504,0.341,0.388,0.367,0.471,0.419,0.087,0.085,0.086,0.083,0.086,0.083,0.081,0.086
3.333333333,0.553,0.37,0.351,0.372,0.424,0.447,0.089,0.429,0.393,0.382,0.386,0.419,0.415,0.086,0.453,0.389,0.394,0.412,0.444,0.5,0.085,0.53,0.333,0.399,0.366,0.454,0.428,0.085,0.087,0.089,0.087,0.089,0.086,0.085,0.088
3.416666667,0.577,0.377,0.342,0.369,0.398,0.413,0.091,0.466,0.412,0.4,0.425,0.443,0.39,0.084,0.474,0.407,0.41,0.436,0.451,0.505,0.083,0.557,0.341,0.412,0.366,0.463,0.411,0.086,0.084,0.086,0.081,0.085,0.082,0.081,0.085
3.5,0.593,0.358,0.339,0.362,0.417,0.43,0.089,0.458,0.412,0.39,0.42,0.454,0.452,0.084,0.483,0.403,0.395,0.417,0.434,0.49,0.083,0.565,0.334,0.397,0.355,0.454,0.414,0.088,0.085,0.085,0.081,0.085,0.082,0.08,0.085
3.583333333,0.616,0.371,0.351,0.377,0.419,0.444,0.087,0.464,0.402,0.388,0.415,0.445,0.435,0.083,0.508,0.429,0.424,0.458,0.484,0.545,0.086,0.587,0.333,0.405,0.366,0.455,0.419,0.083,0.084,0.085,0.082,0.086,0.082,0.081,0.086
3.666666667,0.639,0.372,0.358,0.377,0.42,0.443,0.088,0.479,0.41,0.38,0.413,0.437,0.423,0.082,0.537,0.45,0.44,0.473,0.489,0.538,0.086,0.606,0.351,0.415,0.375,0.452,0.438,0.086,0.085,0.085,0.082,0.085,0.083,0.08,0.086
3.75,0.662,0.386,0.359,0.386,0.414,0.454,0.087,0.504,0.421,0.388,0.417,0.434,0.424,0.084,0.526,0.412,0.404,0.42,0.431,0.496,0.084,0.62,0.357,0.41,0.379,0.458,0.429,0.085,0.085,0.085,0.082,0.085,0.083,0.08,0.085
3.833333333,0.678,0.394,0.368,0.387,0.417,0.451,0.088,0.524,0.422,0.396,0.42,0.435,0.426,0.084,0.549,0.429,0.43,0.435,0.44,0.489,0.085,0.634,0.362,0.411,0.376,0.479,0.417,0.086,0.085,0.085,0.082,0.086,0.083,0.081,0.085
3.916666667,0.686,0.393,0.368,0.39,0.424,0.455,0.086,0.542,0.434,0.407,0.423,0.431,0.404,0.083,0.565,0.434,0.428,0.437,0.446,0.485,0.085,0.647,0.387,0.413,0.388,0.505,0.43,0.086,0.086,0.087,0.084,0.086,0.083,0.081,0.085
4,0.69,0.404,0.365,0.389,0.426,0.452,0.087,0.557,0.421,0.413,0.426,0.438,0.419,0.084,0.588,0.44,0.438,0.439,0.435,0.507,0.084,0.656,0.386,0.421,0.39,0.482,0.431,0.086,0.084,0.087,0.082,0.086,0.082,0.081,0.086
4.083333333,0.717,0.419,0.373,0.404,0.422,0.469,0.086,0.577,0.441,0.405,0.427,0.439,0.414,0.082,0.602,0.444,0.438,0.43,0.43,0.485,0.084,0.666,0.383,0.42,0.387,0.463,0.44,0.085,0.085,0.086,0.083,0.085,0.083,0.081,0.086
4.166666667,0.725,0.424,0.373,0.4,0.414,0.44,0.087,0.594,0.448,0.41,0.431,0.434,0.428,0.083,0.62,0.46,0.43,0.44,0.431,0.51,0.084,0.664,0.385,0.414,0.39,0.435,0.426,0.084,0.085,0.087,0.083,0.086,0.082,0.081,0.085
4.25,0.742,0.426,0.378,0.4,0.424,0.461,0.086,0.611,0.456,0.416,0.433,0.445,0.426,0.083,0.63,0.461,0.438,0.435,0.43,0.483,0.084,0.677,0.38,0.42,0.388,0.454,0.443,0.085,0.087,0.089,0.085,0.088,0.084,0.083,0.086
4.333333333,0.758,0.431,0.377,0.397,0.43,0.434,0.09,0.63,0.458,0.423,0.438,0.441,0.442,0.085,0.652,0.471,0.441,0.444,0.438,0.505,0.083,0.683,0.403,0.42,0.386,0.468,0.424,0.086,0.085,0.085,0.082,0.085,0.083,0.08,0.085
4.416666667,0.777,0.442,0.381,0.408,0.434,0.45,0.088,0.643,0.473,0.421,0.442,0.444,0.436,0.084,0.653,0.465,0.437,0.434,0.429,0.495,0.082,0.688,0.407,0.43,0.399,0.452,0.429,0.084,0.085,0.086,0.082,0.085,0.082,0.08,0.084
4.5,0.787,0.461,0.394,0.424,0.424,0.466,0.087,0.65,0.476,0.43,0.442,0.448,0.427,0.083,0.665,0.487,0.462,0.448,0.436,0.49,0.084,0.702,0.415,0.439,0.405,0.469,0.452,0.084,0.085,0.085,0.082,0.085,0.082,0.081,0.084
4.583333333,0.805,0.469,0.394,0.426,0.444,0.462,0.086,0.657,0.489,0.461,0.47,0.454,0.436,0.083,0.674,0.507,0.464,0.471,0.444,0.491,0.083,0.719,0.431,0.445,0.402,0.452,0.429,0.083,0.083,0.085,0.08,0.085,0.082,0.079,0.083
4.666666667,0.816,0.471,0.393,0.425,0.425,0.43,0.088,0.663,0.494,0.437,0.451,0.442,0.429,0.082,0.669,0.5,0.454,0.453,0.432,0.504,0.083,0.732,0.44,0.445,0.414,0.458,0.432,0.085,0.085,0.086,0.081,0.086,0.082,0.08,0.084
4.75,0.822,0.494,0.413,0.434,0.426,0.454,0.085,0.66,0.502,0.454,0.447,0.448,0.413,0.083,0.685,0.526,0.478,0.492,0.469,0.498,0.084,0.736,0.445,0.452,0.407,0.449,0.422,0.084,0.084,0.085,0.083,0.087,0.085,0.081,0.084
4.833333333,0.835,0.495,0.415,0.431,0.42,0.444,0.088,0.676,0.52,0.448,0.461,0.446,0.449,0.083,0.687,0.53,0.462,0.468,0.445,0.499,0.083,0.745,0.463,0.458,0.421,0.464,0.431,0.086,0.085,0.086,0.082,0.086,0.082,0.08,0.084
4.916666667,0.856,0.521,0.421,0.45,0.442,0.467,0.086,0.68,0.526,0.477,0.48,0.458,0.436,0.082,0.697,0.549,0.492,0.486,0.438,0.489,0.083,0.751,0.475,0.465,0.422,0.45,0.437,0.083,0.084,0.084,0.08,0.085,0.082,0.079,0.083
5,0.87,0.535,0.435,0.467,0.446,0.456,0.088,0.688,0.537,0.472,0.471,0.452,0.449,0.081,0.703,0.568,0.502,0.483,0.437,0.507,0.082,0.759,0.493,0.472,0.429,0.449,0.434,0.086,0.084,0.085,0.081,0.084,0.082,0.079,0.083
5.083333333,0.873,0.558,0.439,0.456,0.417,0.459,0.088,0.7,0.551,0.464,0.467,0.435,0.418,0.083,0.721,0.58,0.505,0.48,0.442,0.497,0.084,0.756,0.491,0.47,0.43,0.454,0.428,0.083,0.085,0.084,0.082,0.085,0.083,0.08,0.084
5.166666667,0.889,0.565,0.438,0.47,0.441,0.441,0.087,0.715,0.571,0.494,0.486,0.46,0.449,0.081,0.724,0.601,0.51,0.502,0.451,0.522,0.082,0.775,0.52,0.491,0.446,0.462,0.427,0.085,0.084,0.084,0.08,0.085,0.081,0.079,0.084
5.25,0.896,0.584,0.45,0.482,0.444,0.481,0.087,0.721,0.588,0.5,0.488,0.441,0.42,0.082,0.735,0.609,0.52,0.502,0.436,0.504,0.083,0.767,0.521,0.493,0.432,0.465,0.416,0.083,0.084,0.085,0.081,0.084,0.082,0.08,0.083
5.333333333,0.897,0.594,0.449,0.467,0.423,0.446,0.087,0.731,0.59,0.493,0.485,0.444,0.418,0.083,0.75,0.625,0.527,0.503,0.443,0.512,0.083,0.78,0.532,0.489,0.437,0.441,0.435,0.083,0.084,0.085,0.082,0.085,0.082,0.081,0.084
5.416666667,0.915,0.607,0.457,0.486,0.44,0.437,0.089,0.745,0.615,0.522,0.518,0.456,0.446,0.083,0.757,0.639,0.536,0.523,0.446,0.513,0.081,0.781,0.564,0.494,0.444,0.48,0.422,0.084,0.083,0.084,0.081,0.085,0.082,0.08,0.083
